,country,city,transport,pollution,year
0,AT,AT001C,100.2,48.0,2004
1,AT,AT001C,96.4,63.4,2006
2,AT,AT001C,97.5,53.1,2009
3,AT,AT001C,96.1,60.0,2012
4,AT,AT001C,100.0,72.0,2015
5,AT,AT001C,87.5,70.0,2019
6,AT,AT001C,80.0,,2021
7,BE,BE001C,115.8,22.0,2004
8,BE,BE001C,116.7,24.7,2006
9,BE,BE001C,117.3,17.8,2009
10,BE,BE001C,114.0,22.0,2012
11,BE,BE001C,100.0,19.0,2015
12,BE,BE001C,93.8,18.5,2019
13,BE,BE001C,79.9,,2021
14,BE,BE002C,115.8,32.0,2004
15,BE,BE002C,116.7,38.8,2006
16,BE,BE002C,117.3,38.3,2009
17,BE,BE002C,114.0,21.0,2012
18,BE,BE002C,100.0,24.0,2015
19,BE,BE002C,93.8,23.4,2019
20,BE,BE002C,79.9,,2021
21,BE,BE005C,115.8,25.0,2004
22,BE,BE005C,116.7,31.5,2006
23,BE,BE005C,117.3,16.9,2009
24,BE,BE005C,114.0,18.0,2012
25,BE,BE005C,100.0,14.0,2015
26,BE,BE005C,93.8,14.7,2019
27,BE,BE005C,79.9,,2021
28,DE,DE001C,106.3,31.0,2004
29,DE,DE001C,101.3,46.2,2006
30,DE,DE001C,104.9,25.5,2009
31,DE,DE001C,101.1,38.0,2012
32,DE,DE001C,100.0,46.0,2015
33,DE,DE001C,91.1,46.4,2019
34,DE,DE001C,76.1,,2021
35,DE,DE003C,106.3,35.0,2004
36,DE,DE003C,101.3,51.7,2006
37,DE,DE003C,104.9,41.7,2009
38,DE,DE003C,101.1,48.0,2012
39,DE,DE003C,100.0,51.0,2015
40,DE,DE003C,91.1,49.4,2019
41,DE,DE003C,76.1,,2021
42,DE,DE008C,106.3,31.0,2004
43,DE,DE008C,101.3,41.4,2006
44,DE,DE008C,104.9,38.1,2009
45,DE,DE008C,101.1,39.0,2012
46,DE,DE008C,100.0,39.0,2015
47,DE,DE008C,91.1,34.9,2019
48,DE,DE008C,76.1,,2021
49,DE,DE010C,106.3,45.0,2004
50,DE,DE010C,101.3,44.3,2006
51,DE,DE010C,104.9,34.0,2009
52,DE,DE010C,101.1,44.0,2012
53,DE,DE010C,100.0,44.0,2015
54,DE,DE010C,91.1,41.3,2019
55,DE,DE010C,76.1,,2021
