,country,transport_2004,transport_2006,transport_2009,transport_2012,transport_2015,transport_2019,transport_2021,pollution_2004,pollution_2006,pollution_2009,pollution_2012,pollution_2015,pollution_2019,city
0,AT,100.2,96.4,97.5,96.1,100.0,87.5,80.0,48.0,63.4,53.1,60.0,72.0,70.0,AT001C
1,BE,115.8,116.7,117.3,114.0,100.0,93.8,79.9,22.0,24.7,17.8,22.0,19.0,18.5,BE001C
2,BE,115.8,116.7,117.3,114.0,100.0,93.8,79.9,32.0,38.8,38.3,21.0,24.0,23.4,BE002C
3,BE,115.8,116.7,117.3,114.0,100.0,93.8,79.9,25.0,31.5,16.9,18.0,14.0,14.7,BE005C
4,DE,106.3,101.3,104.9,101.1,100.0,91.1,76.1,31.0,46.2,25.5,38.0,46.0,46.4,DE001C
5,DE,106.3,101.3,104.9,101.1,100.0,91.1,76.1,35.0,51.7,41.7,48.0,51.0,49.4,DE003C
6,DE,106.3,101.3,104.9,101.1,100.0,91.1,76.1,31.0,41.4,38.1,39.0,39.0,34.9,DE008C
7,DE,106.3,101.3,104.9,101.1,100.0,91.1,76.1,45.0,44.3,34.0,44.0,44.0,41.3,DE010C
8,DK,100.4,111.8,100.5,98.7,100.0,98.2,85.9,15.0,20.8,27.1,38.0,31.0,32.2,DK001C
9,EL,69.1,71.5,79.1,96.3,100.0,100.9,90.3,29.0,33.3,18.5,19.0,27.0,24.4,EL001C
10,EL,69.1,71.5,79.1,96.3,100.0,100.9,90.3,29.0,29.3,14.3,20.0,19.0,19.0,EL004C
11,ES,112.5,106.3,110.5,105.9,100.0,93.6,79.7,14.0,17.0,22.4,26.0,26.0,27.6,ES001C
12,ES,112.5,106.3,110.5,105.9,100.0,93.6,79.7,13.0,18.4,14.1,21.0,24.0,24.0,ES002C
13,ES,112.5,106.3,110.5,105.9,100.0,93.6,79.7,6.0,21.5,13.8,25.0,26.0,28.5,ES006C
14,FR,103.3,98.4,109.4,106.6,100.0,94.6,85.8,21.0,25.4,21.7,25.0,24.0,24.4,FR001C
15,FR,103.3,98.4,109.4,106.6,100.0,94.6,85.8,22.0,10.9,20.3,19.0,20.0,20.4,FR004C
16,FR,103.3,98.4,109.4,106.6,100.0,94.6,85.8,54.0,41.4,43.4,42.0,38.0,39.5,FR016C
17,IE,124.0,119.9,133.7,123.4,100.0,90.5,65.7,24.0,35.1,24.2,31.0,37.0,34.9,IE001C
18,IT,101.3,93.4,102.9,87.3,100.0,102.9,74.1,5.0,5.7,3.3,4.0,4.0,3.0,IT001C
19,IT,101.3,93.4,102.9,87.3,100.0,102.9,74.1,6.0,5.6,2.3,4.0,5.0,3.7,IT003C
20,IT,101.3,93.4,102.9,87.3,100.0,102.9,74.1,3.0,14.0,8.9,18.0,18.0,17.5,IT004C
21,LU,105.5,103.8,103.7,99.4,100.0,99.6,86.3,43.0,33.9,34.5,41.0,36.0,37.7,LU001C
22,PT,103.4,99.3,100.0,98.3,100.0,104.8,97.9,7.0,16.7,11.7,13.0,11.0,10.3,PT001C
23,PT,103.4,99.3,100.0,98.3,100.0,104.8,97.9,11.0,13.7,11.7,7.0,10.0,13.2,PT003C
24,SE,106.5,99.7,104.6,104.7,100.0,82.2,70.0,33.0,27.2,37.4,31.0,31.0,33.8,SE001C
25,UK,117.3,110.5,112.6,106.1,100.0,104.3,,31.0,39.2,30.5,39.0,39.0,36.7,UK004C
